regiao,estado,cod_uf,data,semana_epi,populacao_tcu2019,casos_acumulado,casos_novos,obitos_acumulado,obitos_novos,incidencia100k,mortalidade100k
Norte,AC,12,2020-02-25,9,881935,0,0,0,0,0,0
Norte,AC,12,2020-02-26,9,881935,0,0,0,0,0,0
Norte,AC,12,2020-02-27,9,881935,0,0,0,0,0,0
Norte,AC,12,2020-02-28,9,881935,0,0,0,0,0,0
Norte,AC,12,2020-02-29,9,881935,0,0,0,0,0,0
Norte,AC,12,2020-03-01,10,881935,0,0,0,0,0,0
Norte,AC,12,2020-03-02,10,881935,0,0,0,0,0,0
Norte,AC,12,2020-03-03,10,881935,0,0,0,0,0,0
Norte,AC,12,2020-03-04,10,881935,0,0,0,0,0,0
Norte,AC,12,2020-03-05,10,881935,0,0,0,0,0,0
Norte,AC,12,2020-03-06,10,881935,0,0,0,0,0,0
Norte,AC,12,2020-03-07,10,881935,0,0,0,0,0,0
Norte,AC,12,2020-03-08,11,881935,0,0,0,0,0,0
Norte,AC,12,2020-03-09,11,881935,0,0,0,0,0,0
Norte,AC,12,2020-03-10,11,881935,0,0,0,0,0,0
Norte,AC,12,2020-03-11,11,881935,0,0,0,0,0,0
Norte,AC,12,2020-03-12,11,881935,0,0,0,0,0,0
Norte,AC,12,2020-03-13,11,881935,0,0,0,0,0,0
Norte,AC,12,2020-03-14,11,881935,0,0,0,0,0,0
Norte,AC,12,2020-03-15,12,881935,0,0,0,0,0,0
Norte,AC,12,2020-03-16,12,881935,0,0,0,0,0,0
Norte,AC,12,2020-03-17,12,881935,0,0,0,0,0,0
Norte,AC,12,2020-03-18,12,881935,0,0,0,0,0,0
Norte,AC,12,2020-03-19,12,881935,3,3,0,0,0.34,0
Norte,AC,12,2020-03-20,12,881935,7,4,0,0,0.79,0
Norte,AC,12,2020-03-21,12,881935,9,2,0,0,1.02,0
Norte,AC,12,2020-03-22,13,881935,11,2,0,0,1.25,0
Norte,AC,12,2020-03-23,13,881935,11,0,0,0,1.25,0
Norte,AC,12,2020-03-24,13,881935,17,6,0,0,1.93,0
Norte,AC,12,2020-03-25,13,881935,23,6,0,0,2.61,0
Norte,AC,12,2020-03-26,13,881935,24,1,0,0,2.72,0
Norte,AC,12,2020-03-27,13,881935,25,1,0,0,2.83,0
Norte,AC,12,2020-03-28,13,881935,25,0,0,0,2.83,0
Norte,AC,12,2020-03-29,14,881935,34,9,0,0,3.86,0
Norte,AC,12,2020-03-30,14,881935,42,8,0,0,4.76,0
Norte,AC,12,2020-03-31,14,881935,42,0,0,0,4.76,0
Norte,AC,12,2020-04-01,14,881935,43,1,0,0,4.88,0
Norte,AC,12,2020-04-02,14,881935,43,0,0,0,4.88,0
Norte,AC,12,2020-04-03,14,881935,46,3,0,0,5.22,0
Norte,AC,12,2020-04-04,14,881935,46,0,0,0,5.22,0
Norte,AC,12,2020-04-05,15,881935,48,2,0,0,5.44,0
Norte,AC,12,2020-04-06,15,881935,50,2,0,0,5.67,0
Norte,AC,12,2020-04-07,15,881935,50,0,1,1,5.67,0.11
Norte,AC,12,2020-04-08,15,881935,54,4,2,1,6.12,0.23
Norte,AC,12,2020-04-09,15,881935,62,8,2,0,7.03,0.23
Norte,AC,12,2020-04-10,15,881935,70,8,2,0,7.94,0.23
Norte,AC,12,2020-04-11,15,881935,72,2,2,0,8.16,0.23
Norte,AC,12,2020-04-12,16,881935,77,5,2,0,8.73,0.23
Norte,AC,12,2020-04-13,16,881935,90,13,3,1,10.2,0.34
Norte,AC,12,2020-04-14,16,881935,99,9,3,0,11.23,0.34
Norte,AC,12,2020-04-15,16,881935,101,2,3,0,11.45,0.34
Norte,AC,12,2020-04-16,16,881935,110,9,5,2,12.47,0.57
Norte,AC,12,2020-04-17,16,881935,135,25,5,0,15.31,0.57
Norte,AC,12,2020-04-18,16,881935,142,7,5,0,16.1,0.57
Norte,AC,12,2020-04-19,17,881935,163,21,6,1,18.48,0.68
Norte,AC,12,2020-04-20,17,881935,176,13,8,2,19.96,0.91
Norte,AC,12,2020-04-21,17,881935,195,19,8,0,22.11,0.91
Norte,AC,12,2020-04-22,17,881935,214,19,8,0,24.26,0.91
Norte,AC,12,2020-04-23,17,881935,227,13,10,2,25.74,1.13
Norte,AC,12,2020-04-24,17,881935,234,7,11,1,26.53,1.25
Norte,AC,12,2020-04-25,17,881935,258,24,11,0,29.25,1.25
Norte,AC,12,2020-04-26,18,881935,279,21,11,0,31.63,1.25
Norte,AC,12,2020-04-27,18,881935,279,0,14,3,31.63,1.59
Norte,AC,12,2020-04-28,18,881935,311,32,16,2,35.26,1.81
Norte,AC,12,2020-04-29,18,881935,354,43,17,1,40.14,1.93
Norte,AC,12,2020-04-30,18,881935,404,50,19,2,45.81,2.15
Norte,AC,12,2020-05-01,18,881935,486,82,19,0,55.11,2.15
Norte,AC,12,2020-05-02,18,881935,553,67,21,2,62.7,2.38
Norte,AC,12,2020-05-03,19,881935,657,104,24,3,74.5,2.72
Norte,AC,12,2020-05-04,19,881935,733,76,28,4,83.11,3.17
Norte,AC,12,2020-05-05,19,881935,817,84,29,1,92.64,3.29
Norte,AC,12,2020-05-06,19,881935,943,126,33,4,106.92,3.74
Norte,AC,12,2020-05-07,19,881935,1014,71,36,3,114.97,4.08
Norte,AC,12,2020-05-08,19,881935,1177,163,38,2,133.46,4.31
Norte,AC,12,2020-05-09,19,881935,1335,158,39,1,151.37,4.42
Norte,AC,12,2020-05-10,20,881935,1447,112,41,2,164.07,4.65
Norte,AC,12,2020-05-11,20,881935,1460,13,45,4,165.55,5.1
Norte,AC,12,2020-05-12,20,881935,1590,130,51,6,180.29,5.78
Norte,AC,12,2020-05-13,20,881935,1694,104,52,1,192.08,5.9
Norte,AC,12,2020-05-14,20,881935,1740,46,55,3,197.29,6.24
Norte,AC,12,2020-05-15,20,881935,1785,45,57,2,202.4,6.46
Norte,AC,12,2020-05-16,20,881935,1867,82,59,2,211.69,6.69
Norte,AC,12,2020-05-17,21,881935,1997,130,60,1,226.43,6.8
Norte,AC,12,2020-05-18,21,881935,2234,237,67,7,253.31,7.6
Norte,AC,12,2020-05-19,21,881935,2482,248,72,5,281.43,8.16
Norte,AC,12,2020-05-20,21,881935,2817,335,76,4,319.41,8.62
Norte,AC,12,2020-05-21,21,881935,3103,286,78,2,351.84,8.84
Norte,AC,12,2020-05-22,21,881935,3343,240,80,2,379.05,9.07
Norte,AC,12,2020-05-23,21,881935,3867,524,87,7,438.47,9.86
Norte,AC,12,2020-05-24,22,881935,4160,293,92,5,471.69,10.43
Norte,AC,12,2020-05-25,22,881935,4501,341,97,5,510.36,11
Norte,AC,12,2020-05-26,22,881935,4781,280,105,8,542.1,11.91
Norte,AC,12,2020-05-27,22,881935,5251,470,113,8,595.4,12.81
Norte,AC,12,2020-05-28,22,881935,5600,349,122,9,634.97,13.83
Norte,AC,12,2020-05-29,22,881935,5841,241,135,13,662.29,15.31
Norte,AC,12,2020-05-30,22,881935,6072,231,142,7,688.49,16.1
Norte,AC,12,2020-05-31,23,881935,6219,147,148,6,705.15,16.78
Norte,AC,12,2020-06-01,23,881935,6326,107,161,13,717.29,18.26
Norte,AC,12,2020-06-02,23,881935,6465,139,165,4,733.05,18.71
Norte,AC,12,2020-06-03,23,881935,6679,214,171,6,757.31,19.39
Norte,AC,12,2020-06-04,23,881935,7021,342,181,10,796.09,20.52
Norte,AC,12,2020-06-05,23,881935,7284,263,190,9,825.91,21.54
Norte,AC,12,2020-06-06,23,881935,7525,241,201,11,853.24,22.79
Norte,AC,12,2020-06-07,24,881935,7983,458,207,6,905.17,23.47
Norte,AC,12,2020-06-08,24,881935,8128,145,211,4,921.61,23.92
Norte,AC,12,2020-06-09,24,881935,8457,329,223,12,958.91,25.29
Norte,AC,12,2020-06-10,24,881935,8746,289,237,14,991.68,26.87
Norte,AC,12,2020-06-11,24,881935,9091,345,245,8,1030.8,27.78
Norte,AC,12,2020-06-12,24,881935,9295,204,254,9,1053.93,28.8
Norte,AC,12,2020-06-13,24,881935,9534,239,256,2,1081.03,29.03
Norte,AC,12,2020-06-14,25,881935,9642,108,259,3,1093.28,29.37
Norte,AC,12,2020-06-15,25,881935,9771,129,265,6,1107.9,30.05
Norte,AC,12,2020-06-16,25,881935,10003,232,271,6,1134.21,30.73
Norte,AC,12,2020-06-17,25,881935,10339,336,281,10,1172.31,31.86
Norte,AC,12,2020-06-18,25,881935,10664,325,287,6,1209.16,32.54
