uf,vulnerable_count,uf_code,regiao_code,regiao_sigla,regiao_name,population2019,vulnerable_prop
AC,255696,12,1,N,Norte,881935,0.2899261283427917
AL,999492,27,2,NE,Nordeste,3337357,0.2994860903403502
AM,1174666,13,1,N,Norte,4144597,0.28342104190105816
AP,245232,16,1,N,Norte,845731,0.2899645395521744
BA,4767849,29,2,NE,Nordeste,14873064,0.320569386375262
CE,2891650,23,2,NE,Nordeste,9132078,0.31664753630006226
DF,478956,53,5,CO,Centro-Oeste,3015268,0.15884359201238496
ES,872135,32,3,SE,Sudeste,4018650,0.2170218854590472
GO,1505333,52,5,CO,Centro-Oeste,7018354,0.21448519125709534
MA,2264950,21,2,NE,Nordeste,7075181,0.32012608582027796
MG,4414652,31,3,SE,Sudeste,21168791,0.20854530615376193
MS,585227,50,5,CO,Centro-Oeste,2778986,0.2105901217206564
MT,764849,51,5,CO,Centro-Oeste,3484466,0.219502500526623
PA,2677031,15,1,N,Norte,8602865,0.31117900838848456
PB,1266156,25,2,NE,Nordeste,4018127,0.31511099574503243
PE,2954441,26,2,NE,Nordeste,9557071,0.3091366591291411
PI,1100888,22,2,NE,Nordeste,3273227,0.336331088555728
PR,2114283,41,4,S,Sul,11433957,0.18491262473700049
RJ,3772903,33,3,SE,Sudeste,17264943,0.21852971075548874
RN,1032918,24,2,NE,Nordeste,3506853,0.2945427139375389
RO,419195,11,1,N,Norte,1777225,0.23587052849245313
RR,168285,14,1,N,Norte,605761,0.277807584179239
RS,1784148,43,4,S,Sul,11377239,0.15681730866337606
SC,983454,42,4,S,Sul,7164788,0.1372621213635351
SE,717066,28,2,NE,Nordeste,2298696,0.3119446851606302
SP,8092044,35,3,SE,Sudeste,45919049,0.17622411997251947
TO,417106,17,1,N,Norte,1572866,0.26518851574132823
