state,state_code,proportion_bolsonaro
SÃO PAULO,35,0.6797192309938359
MINAS GERAIS,31,0.581901427817968
RIO DE JANEIRO,33,0.6795440665176696
PARANÁ,41,0.6843147628638993
RIO GRANDE DO SUL,43,0.6324176031215669
SANTA CATARINA,42,0.7592187902326255
GOIÁS,52,0.6552176067650199
BAHIA,29,0.27306888290339804
PARÁ,15,0.4519344833158969
PERNAMBUCO,26,0.3349722036648937
CEARÁ,23,0.28893096725309503
ESPÍRITO SANTO,32,0.6306185748814822
MATO GROSSO,51,0.6641836282170874
DISTRITO FEDERAL,53,0.6998609231670133
MARANHÃO,21,0.2674018648291438
AMAZONAS,13,0.502712852151261
MATO GROSSO DO SUL,50,0.6522069833083285
PARAÍBA,25,0.35019718496522845
RIO GRANDE DO NORTE,24,0.36587016403442724
ALAGOAS,27,0.40081609484622505
RONDÔNIA,11,0.7217761257583606
PIAUÍ,22,0.22949824054701806
SERGIPE,28,0.32463135754203365
TOCANTINS,17,0.4897641968646545
ACRE,12,0.7722375849752275
AMAPÁ,16,0.5020069864826748
RORAIMA,14,0.7154993363004607
EXTERIOR,0,0.7101957378870664
