municipio_code,regiao_code,regiao_sigla,regiao_name
1100015,1,N,Norte
1100379,1,N,Norte
1100403,1,N,Norte
1100346,1,N,Norte
1100023,1,N,Norte
1100452,1,N,Norte
1100031,1,N,Norte
1100601,1,N,Norte
1100049,1,N,Norte
1100700,1,N,Norte
1100809,1,N,Norte
1100908,1,N,Norte
1100056,1,N,Norte
1100924,1,N,Norte
1100064,1,N,Norte
1100072,1,N,Norte
1100080,1,N,Norte
1100940,1,N,Norte
1100098,1,N,Norte
1101005,1,N,Norte
1100106,1,N,Norte
1101104,1,N,Norte
1100114,1,N,Norte
1100122,1,N,Norte
1100130,1,N,Norte
1101203,1,N,Norte
1101302,1,N,Norte
1101401,1,N,Norte
1100148,1,N,Norte
1100338,1,N,Norte
1101435,1,N,Norte
1100502,1,N,Norte
1100155,1,N,Norte
1101450,1,N,Norte
1100189,1,N,Norte
1101468,1,N,Norte
1100205,1,N,Norte
1100254,1,N,Norte
1101476,1,N,Norte
1100262,1,N,Norte
1100288,1,N,Norte
1100296,1,N,Norte
1101484,1,N,Norte
1101492,1,N,Norte
1100320,1,N,Norte
1101500,1,N,Norte
1101559,1,N,Norte
1101609,1,N,Norte
1101708,1,N,Norte
1101757,1,N,Norte
1101807,1,N,Norte
1100304,1,N,Norte
1200013,1,N,Norte
1200054,1,N,Norte
1200104,1,N,Norte
1200138,1,N,Norte
1200179,1,N,Norte
1200203,1,N,Norte
1200252,1,N,Norte
1200302,1,N,Norte
1200328,1,N,Norte
1200336,1,N,Norte
1200344,1,N,Norte
1200351,1,N,Norte
1200385,1,N,Norte
1200807,1,N,Norte
1200393,1,N,Norte
1200401,1,N,Norte
1200427,1,N,Norte
1200435,1,N,Norte
1200500,1,N,Norte
1200450,1,N,Norte
1200609,1,N,Norte
1200708,1,N,Norte
1300029,1,N,Norte
1300060,1,N,Norte
1300086,1,N,Norte
1300102,1,N,Norte
1300144,1,N,Norte
1300201,1,N,Norte
1300300,1,N,Norte
1300409,1,N,Norte
1300508,1,N,Norte
1300607,1,N,Norte
1300631,1,N,Norte
1300680,1,N,Norte
1300706,1,N,Norte
1300805,1,N,Norte
1300839,1,N,Norte
1300904,1,N,Norte
1301001,1,N,Norte
1301100,1,N,Norte
1301159,1,N,Norte
1301209,1,N,Norte
1301308,1,N,Norte
1301407,1,N,Norte
1301506,1,N,Norte
1301605,1,N,Norte
1301654,1,N,Norte
1301704,1,N,Norte
1301803,1,N,Norte
1301852,1,N,Norte
1301902,1,N,Norte
1301951,1,N,Norte
1302009,1,N,Norte
1302108,1,N,Norte
1302207,1,N,Norte
1302306,1,N,Norte
1302405,1,N,Norte
1302504,1,N,Norte
1302553,1,N,Norte
1302603,1,N,Norte
1302702,1,N,Norte
1302801,1,N,Norte
1302900,1,N,Norte
1303007,1,N,Norte
1303106,1,N,Norte
1303205,1,N,Norte
1303304,1,N,Norte
1303403,1,N,Norte
1303502,1,N,Norte
1303536,1,N,Norte
