uf,date,index
Amazonas,2020-04-03,17
Amazonas,2020-04-09,40
Amazonas,2020-04-16,48
Amazonas,2020-04-23,52
Amazonas,2020-04-30,57
Amazonas,2020-05-07,57
Amazonas,2020-05-14,52
Amazonas,2020-05-21,62
Amazonas,2020-05-28,50
Amazonas,2020-06-04,45
Amazonas,2020-06-11,98
Paraná,2020-04-03,10
Paraná,2020-04-09,24
Paraná,2020-04-16,74
Paraná,2020-04-23,76
Paraná,2020-04-30,79
Paraná,2020-05-07,88
Paraná,2020-05-14,90
Paraná,2020-05-21,90
Paraná,2020-05-28,90
Paraná,2020-06-04,90
Paraná,2020-06-11,98
Acre,2020-04-03,14
Acre,2020-04-09,14
Acre,2020-04-16,19
Acre,2020-04-23,38
Acre,2020-04-30,38
Acre,2020-05-07,55
Acre,2020-05-14,88
Acre,2020-05-21,88
Acre,2020-05-28,98
Acre,2020-06-04,93
Acre,2020-06-11,98
Governo Federal,2020-04-03,36
Governo Federal,2020-04-09,52
Governo Federal,2020-04-16,67
Governo Federal,2020-04-23,60
Governo Federal,2020-04-30,67
Governo Federal,2020-05-07,57
Governo Federal,2020-05-14,71
Governo Federal,2020-05-21,86
Governo Federal,2020-05-28,86
Governo Federal,2020-06-04,90
Governo Federal,2020-06-11,95
Paraíba,2020-04-03,10
Paraíba,2020-04-09,40
Paraíba,2020-04-16,43
Paraíba,2020-04-23,43
Paraíba,2020-04-30,81
Paraíba,2020-05-07,76
Paraíba,2020-05-14,86
Paraíba,2020-05-21,86
Paraíba,2020-05-28,76
Paraíba,2020-06-04,76
Paraíba,2020-06-11,81
Santa Catarina,2020-04-03,10
Santa Catarina,2020-04-09,17
Santa Catarina,2020-04-16,52
Santa Catarina,2020-04-23,55
Santa Catarina,2020-04-30,48
Santa Catarina,2020-05-07,48
Santa Catarina,2020-05-14,48
Santa Catarina,2020-05-21,88
Santa Catarina,2020-05-28,95
Santa Catarina,2020-06-04,90
Santa Catarina,2020-06-11,95
Rio Grande do Sul,2020-04-03,36
Rio Grande do Sul,2020-04-09,55
Rio Grande do Sul,2020-04-16,55
Rio Grande do Sul,2020-04-23,60
Rio Grande do Sul,2020-04-30,55
Rio Grande do Sul,2020-05-07,55
Rio Grande do Sul,2020-05-14,55
Rio Grande do Sul,2020-05-21,55
Rio Grande do Sul,2020-05-28,76
Rio Grande do Sul,2020-06-04,95
Rio Grande do Sul,2020-06-11,100
Mato Grosso do Sul,2020-04-03,45
Mato Grosso do Sul,2020-04-09,43
Mato Grosso do Sul,2020-04-16,43
Mato Grosso do Sul,2020-04-23,43
Mato Grosso do Sul,2020-04-30,43
Mato Grosso do Sul,2020-05-07,43
Mato Grosso do Sul,2020-05-14,71
Mato Grosso do Sul,2020-05-21,31
Mato Grosso do Sul,2020-05-28,90
Mato Grosso do Sul,2020-06-04,88
Mato Grosso do Sul,2020-06-11,88
Pará,2020-04-03,0
Pará,2020-04-09,0
Pará,2020-04-16,40
Pará,2020-04-23,43
Pará,2020-04-30,48
Pará,2020-05-07,62
Pará,2020-05-14,86
Pará,2020-05-21,93
Pará,2020-05-28,93
Pará,2020-06-04,93
Pará,2020-06-11,93
Alagoas,2020-04-03,33
Alagoas,2020-04-09,31
Alagoas,2020-04-16,36
Alagoas,2020-04-23,40
Alagoas,2020-04-30,60
Alagoas,2020-05-07,74
