city,city_code,proportion_bolsonaro
JI-PARANÁ,1100122,0.7739177592752098
ESPIGÃO D'OESTE,1100098,0.7318582520871038
NOVA BRASILÂNDIA D'OESTE,1100148,0.706717123935667
CASTANHEIRAS,1100908,0.5882352941176471
VALE DO PARAÍSO,1101807,0.6501740427647936
MIRANTE DA SERRA,1101302,0.6214699175583231
THEOBROMA,1101609,0.6617307692307692
CAMPO NOVO DE RONDÔNIA,1100700,0.6677191679049034
CUJUBIM,1100940,0.737037037037037
VALE DO ANARI,1101757,0.676070279633754
PIMENTEIRAS DO OESTE,1101468,0.6643137254901961
CAPIXABA,1200179,0.7819714916683397
CRUZEIRO DO SUL,1200203,0.7993583985628128
RODRIGUES ALVES,1200427,0.7389819987585351
SENA MADUREIRA,1200500,0.7645603349828702
PLÁCIDO DE CASTRO,1200385,0.7804732313575525
ANORI,1300102,0.37967644084934277
CAREIRO DA VÁRZEA,1301159,0.278552920071756
ATALAIA DO NORTE,1300201,0.17470745226852802
BARCELOS,1300409,0.34649520014490126
NHAMUNDÁ,1303007,0.14667125014323365
PAUINI,1303502,0.26417910447761195
TEFÉ,1304203,0.3017716462625291
URUCARÁ,1304302,0.21099290780141844
CAAPIRANGA,1300839,0.28680727874276263
CAROEBE,1400233,0.7065217391304348
SÃO JOÃO DA BALIZA,1400506,0.6272588055130168
SÃO LUIZ,1400605,0.6491994177583698
ABAETETUBA,1500107,0.24399695862255033
AFUÁ,1500305,0.337269328902866
ALTAMIRA,1500602,0.632820899745355
PALESTINA DO PARÁ,1505494,0.38372093023255816
BAGRE,1501105,0.18399382398353062
BAIÃO,1501204,0.24921427250878167
SANTA BÁRBARA DO PARÁ,1506351,0.4127123375069782
BONITO,1501600,0.22444691632678285
BREVES,1501808,0.32421853911353454
BREU BRANCO,1501782,0.4072948328267477
SÃO DOMINGOS DO ARAGUAIA,1507151,0.3824532396403844
NOVA ESPERANÇA DO PIRIÁ,1504950,0.3949853467925757
TERRA ALTA,1507961,0.32165925075355245
CURRALINHO,1502806,0.15678574125821312
FLORESTA DO ARAGUAIA,1503044,0.476206068543986
CANAÃ DOS CARAJÁS,1502152,0.6212641272498953
ITAITUBA,1503606,0.5569563360974404
CACHOEIRA DO PIRIÁ,1501956,0.21026894865525672
MARACANÃ,1504307,0.30053531944606077
MELGAÇO,1504505,0.24366110080395795
MOJU,1504703,0.24109270560883464
OURÉM,1505403,0.25908822951463945
PEIXE-BOI,1505601,0.3224176972652848
SALINÓPOLIS,1506203,0.3554805311726311
SÃO CAETANO DE ODIVELAS,1507102,0.27366167023554605
SÃO DOMINGOS DO CAPIM,1507201,0.2523297491039427
SOURE,1507904,0.24471487635540995
REDENÇÃO,1506138,0.6631816972599095
XINGUARA,1508407,0.6265457926545792
RONDON DO PARÁ,1506187,0.5167960120092902
URUARÁ,1508159,0.666907514450867
PARAUAPEBAS,1505536,0.6153626499143346
MAZAGÃO,1600402,0.3058513058513059
ÁGUA DOCE DO MARANHÃO,2100154,0.14056939501779359
ALTO PARNAÍBA,2100501,0.27958437560130844
AMARANTE DO MARANHÃO,2100600,0.29404093666723363
BACABEIRA,2101251,0.15663117134559534
ANAJATUBA,2100709,0.13537327779557834
BACURI,2101301,0.11313868613138686
BARREIRINHAS,2101707,0.1571907432475988
BURITICUPU,2102325,0.25342822426662037
BEQUIMÃO,2101905,0.1440493124703651
BREJO,2102101,0.16749481099440217
CAPINZAL DO NORTE,2102754,0.20829252366960496
BURITI,2102200,0.11394557823129252
CENTRAL DO MARANHÃO,2103125,0.07860371672526369
BURITI BRAVO,2102309,0.12455516014234876
CENTRO NOVO DO MARANHÃO,2103174,0.15042511445389142
CAJARI,2102507,0.09066584336729443
FEIRA NOVA DO MARANHÃO,2104073,0.282856478250756
CARUTAPERA,2102903,0.2590668935255664
CAXIAS,2103000,0.24080128163382264
CODÓ,2103307,0.2263053040613843
COELHO NETO,2103406,0.1606436069523318
GOVERNADOR NUNES FREIRE,2104677,0.23559413027916964
IGARAPÉ DO MEIO,2105153,0.1253109859892628
CURURUPU,2103703,0.1475707277736711
ITINGA DO MARANHÃO,2105427,0.4262622751368732
JATOBÁ,2105450,0.14438027543314083
DUQUE BACELAR,2103901,0.0906163753449862
FORTALEZA DOS NOGUEIRAS,2104107,0.2720034742327736
LAGOA DO MATO,2105922,0.1006993006993007
GOVERNADOR ARCHER,2104503,0.16904806086472443
GRAÇA ARANHA,2104701,0.167012987012987
MARANHÃOZINHO,2106375,0.1585014409221902
SÃO LUÍS GONZAGA DO MARANHÃO,2111409,0.11037115244051003
ITAPECURU MIRIM,2105401,0.17294651995905835
JOSELÂNDIA,2105609,0.18285260650965865
PRESIDENTE SARNEY,2109270,0.10594205963205752
LAGO DO JUNCO,2105807,0.20487012987012987
SANTANA DO MARANHÃO,2110237,0.136694898562143
LUÍS DOMINGUES,2106201,0.31677547544706214
SÃO JOÃO DO SOTER,2111078,0.09372862029646523
NOVA IORQUE,2107308,0.13607476635514018
PARAIBANO,2107704,0.14188210961737333
