municipio_code,vulnerable_count,uf_sigla,uf_code,municipio_code5,municipio_name,population2019,municipio_code6,regiao_code,regiao_sigla,regiao_name,vulnerable_prop
1100205,130451,RO,11,00205,Porto Velho,529544,110020,1,N,Norte,0.24634591270980316
1200401,95574,AC,12,00401,Rio Branco,407319,120040,1,N,Norte,0.23464164450958586
1302603,560306,AM,13,02603,Manaus,2182763,130260,1,N,Norte,0.2566957567083554
1400100,103852,RR,14,00100,Boa Vista,399213,140010,1,N,Norte,0.26014182904865324
1500800,145731,PA,15,00800,Ananindeua,530598,150080,1,N,Norte,0.2746542580258501
1501402,417398,PA,15,01402,Belém,1492745,150140,1,N,Norte,0.27961775118992194
1504208,71624,PA,15,04208,Marabá,279349,150420,1,N,Norte,0.2563961209812815
1506807,109213,PA,15,06807,Santarém,304589,150680,1,N,Norte,0.35855858222063175
1600303,133298,AP,16,00303,Macapá,503327,160030,1,N,Norte,0.26483379592193546
1721000,67363,TO,17,21000,Palmas,299127,172100,1,N,Norte,0.22519866143811826
2105302,74702,MA,21,05302,Imperatriz,258682,210530,2,NE,Nordeste,0.2887792733935875
2111300,298739,MA,21,11300,São Luís,1101884,211130,2,NE,Nordeste,0.2711165603638859
2211001,210343,PI,22,11001,Teresina,864845,221100,2,NE,Nordeste,0.24321468008718325
2303709,102835,CE,23,03709,Caucaia,361400,230370,2,NE,Nordeste,0.284546209186497
2304400,681446,CE,23,04400,Fortaleza,2669342,230440,2,NE,Nordeste,0.25528613418587803
2307304,82249,CE,23,07304,Juazeiro do Norte,274207,230730,2,NE,Nordeste,0.29995222587315423
2403251,51597,RN,24,03251,Parnamirim,261469,240325,2,NE,Nordeste,0.1973350569283548
2408003,69578,RN,24,08003,Mossoró,297378,240800,2,NE,Nordeste,0.23397157826066486
2408102,195294,RN,24,08102,Natal,884122,240810,2,NE,Nordeste,0.2208903296151436
2504009,106794,PB,25,04009,Campina Grande,409731,250400,2,NE,Nordeste,0.26064417874166224
2507507,184813,PB,25,07507,João Pessoa,809015,250750,2,NE,Nordeste,0.22844199427699116
2604106,111149,PE,26,04106,Caruaru,361118,260410,2,NE,Nordeste,0.30779135905715027
2607901,189784,PE,26,07901,Jaboatão dos Guararapes,702298,260790,2,NE,Nordeste,0.2702328641118158
2609600,110270,PE,26,09600,Olinda,392482,260960,2,NE,Nordeste,0.2809555597454151
2610707,92936,PE,26,10707,Paulista,331774,261070,2,NE,Nordeste,0.2801183938464135
2611101,96661,PE,26,11101,Petrolina,349145,261110,2,NE,Nordeste,0.27685059216085006
2611606,378234,PE,26,11606,Recife,1645727,261160,2,NE,Nordeste,0.2298279119197777
2704302,239536,AL,27,04302,Maceió,1018948,270430,2,NE,Nordeste,0.23508167247003772
2800308,141971,SE,28,00308,Aracaju,657013,280030,2,NE,Nordeste,0.21608552646599077
2905701,81351,BA,29,05701,Camaçari,299132,290570,2,NE,Nordeste,0.27195686185362983
2910800,169081,BA,29,10800,Feira de Santana,614872,291080,2,NE,Nordeste,0.2749856880781691
2927408,676502,BA,29,27408,Salvador,2872347,292740,2,NE,Nordeste,0.23552237943396115
2933307,97168,BA,29,33307,Vitória da Conquista,341597,293330,2,NE,Nordeste,0.28445214682798736
3106200,417981,MG,31,06200,Belo Horizonte,2512070,310620,3,SE,Sudeste,0.16638907355288665
3106705,91392,MG,31,06705,Betim,439340,310670,3,SE,Sudeste,0.2080211225929804
3118601,114426,MG,31,18601,Contagem,663855,311860,3,SE,Sudeste,0.17236595340850036
3127701,66593,MG,31,27701,Governador Valadares,279885,312770,3,SE,Sudeste,0.23792986405130678
3131307,47884,MG,31,31307,Ipatinga,263410,313130,3,SE,Sudeste,0.18178504992217456
3136702,88997,MG,31,36702,Juiz de Fora,568873,313670,3,SE,Sudeste,0.15644440850594069
3143302,90507,MG,31,43302,Montes Claros,409341,314330,3,SE,Sudeste,0.22110416498713786
3154606,67668,MG,31,54606,Ribeirão das Neves,334858,315460,3,SE,Sudeste,0.2020796875093323
3170107,50870,MG,31,70107,Uberaba,333783,317010,3,SE,Sudeste,0.15240440645569128
3170206,121956,MG,31,70206,Uberlândia,691305,317020,3,SE,Sudeste,0.17641417319417624
3201308,87233,ES,32,01308,Cariacica,381285,320130,3,SE,Sudeste,0.22878686546808819
3205002,106373,ES,32,05002,Serra,517510,320500,3,SE,Sudeste,0.20554771888465923
3205200,86862,ES,32,05200,Vila Velha,493838,320520,3,SE,Sudeste,0.17589168917742257
3205309,59800,ES,32,05309,Vitória,362097,320530,3,SE,Sudeste,0.16514911750166392
3300456,136900,RJ,33,00456,Belford Roxo,510906,330045,3,SE,Sudeste,0.2679553577370397
3301009,133386,RJ,33,01009,Campos dos Goytacazes,507548,330100,3,SE,Sudeste,0.2628047002451
3301702,221525,RJ,33,01702,Duque de Caxias,919596,330170,3,SE,Sudeste,0.2408938272893749
3302403,53025,RJ,33,02403,Macaé,256672,330240,3,SE,Sudeste,0.20658661638199727
3303302,88055,RJ,33,03302,Niterói,513584,330330,3,SE,Sudeste,0.17145199227390262
3303500,232438,RJ,33,03500,Nova Iguaçu,821128,330350,3,SE,Sudeste,0.2830715795832075
3303906,59712,RJ,33,03906,Petrópolis,306191,330390,3,SE,Sudeste,0.19501552952242227
3304557,1306171,RJ,33,04557,Rio de Janeiro,6718903,330455,3,SE,Sudeste,0.1944024195616457
3304904,219878,RJ,33,04904,São Gonçalo,1084839,330490,3,SE,Sudeste,0.20268261004628338
3305109,97945,RJ,33,05109,São João de Meriti,472406,330510,3,SE,Sudeste,0.2073322523422649
3306305,48446,RJ,33,06305,Volta Redonda,273012,330630,3,SE,Sudeste,0.17745007545455876
3505708,54454,SP,35,05708,Barueri,274182,350570,3,SE,Sudeste,0.19860530596465123
3506003,61714,SP,35,06003,Bauru,376818,350600,3,SE,Sudeste,0.16377667733494686
3509502,185064,SP,35,09502,Campinas,1204073,350950,3,SE,Sudeste,0.15369832227780209
3510609,85330,SP,35,10609,Carapicuíba,400927,351060,3,SE,Sudeste,0.21283176239065965
3513801,80903,SP,35,13801,Diadema,423884,351380,3,SE,Sudeste,0.19086117900180238
3515004,59705,SP,35,15004,Embu das Artes,273726,351500,3,SE,Sudeste,0.21811957943344804
