uf_sigla,uf_code,regiao_code,regiao_sigla,regiao_name,population2019
AC,12,1,N,Norte,881935
AL,27,2,NE,Nordeste,3337357
AM,13,1,N,Norte,4144597
AP,16,1,N,Norte,845731
BA,29,2,NE,Nordeste,14873064
CE,23,2,NE,Nordeste,9132078
DF,53,5,CO,Centro-Oeste,3015268
ES,32,3,SE,Sudeste,4018650
GO,52,5,CO,Centro-Oeste,7018354
MA,21,2,NE,Nordeste,7075181
MG,31,3,SE,Sudeste,21168791
MS,50,5,CO,Centro-Oeste,2778986
MT,51,5,CO,Centro-Oeste,3484466
PA,15,1,N,Norte,8602865
PB,25,2,NE,Nordeste,4018127
PE,26,2,NE,Nordeste,9557071
PI,22,2,NE,Nordeste,3273227
PR,41,4,S,Sul,11433957
RJ,33,3,SE,Sudeste,17264943
RN,24,2,NE,Nordeste,3506853
RO,11,1,N,Norte,1777225
RR,14,1,N,Norte,605761
RS,43,4,S,Sul,11377239
SC,42,4,S,Sul,7164788
SE,28,2,NE,Nordeste,2298696
SP,35,3,SE,Sudeste,45919049
TO,17,1,N,Norte,1572866
