estado,cod_municipio_ibge,nome_municipio,regiao,populacao,leitos_uti_total,leitos_uti_100k_hab,leitos_uti_sus_total,leitos_uti_sus_100k_hab,medicos_total,medicos_sus,medicos_100k_hab,medicos_sus_100k_hab,enfermeiros_total,enfermeiros_sus,enfermeiros_100k_hab,enfermeiros_sus_100k_hab
Minas Gerais,3100807,Aguanil,Sudeste,4486,0,0,0,0,3,3,66.8747213553277,66.8747213553277,4,4,89.1662951404369,89.1662951404369
Pernambuco,2600500,Águas Belas,Nordeste,43443,0,0,0,0,19,19,43.7354694657367,43.7354694657367,33,33,75.9616048615427,75.9616048615427
São Paulo,3500402,Águas da Prata,Sudeste,8180,0,0,0,0,16,16,195.59902200489,195.59902200489,5,4,61.1246943765281,48.8997555012225
Santa Catarina,4200507,Águas de Chapecó,Sul,6486,0,0,0,0,5,4,77.0891150169596,61.6712920135677,4,4,61.6712920135677,61.6712920135677
São Paulo,3500501,Águas de Lindóia,Sudeste,18705,0,0,0,0,44,38,235.231221598503,203.154236835071,18,17,96.2309542902967,90.884790163058
São Paulo,3500550,Águas de Santa Bárbara,Sudeste,6075,0,0,0,0,13,13,213.991769547325,213.991769547325,11,11,181.069958847737,181.069958847737
São Paulo,3500600,Águas de São Pedro,Sudeste,3451,0,0,0,0,7,7,202.839756592292,202.839756592292,8,8,231.816864676905,231.816864676905
Minas Gerais,3100906,Águas Formosas,Sudeste,19207,0,0,0,0,15,14,78.0965273077524,72.8900921539022,8,8,41.6514812308013,41.6514812308013
Santa Catarina,4200556,Águas Frias,Sul,2366,0,0,0,0,2,2,84.530853761623,84.530853761623,2,2,84.530853761623,84.530853761623
Goiás,5200258,Águas Lindas de Goiás,Centro-Oeste,212440,0,0,0,0,124,91,58.3694219544342,42.835624176238,60,56,28.2432686876295,26.3603841084542
Santa Catarina,4200606,Águas Mornas,Sul,6469,0,0,0,0,7,7,108.208378420158,108.208378420158,2,2,30.9166795486165,30.9166795486165
Minas Gerais,3101003,Águas Vermelhas,Sudeste,13539,0,0,0,0,14,13,103.404978211094,96.0189083388729,10,10,73.8606987222099,73.8606987222099
Rio Grande do Sul,4300109,Agudo,Sul,16461,0,0,0,0,29,24,176.173986999575,145.79916165482,12,12,72.8995808274102,72.8995808274102
São Paulo,3500709,Agudos,Sudeste,37214,0,0,0,0,115,107,309.02348578492,287.526199817273,43,43,115.5479120761,115.5479120761
Paraná,4100301,Agudos do Sul,Sul,9371,0,0,0,0,11,11,117.383416924554,117.383416924554,9,9,96.0409774837264,96.0409774837264
Espírito Santo,3200136,Águia Branca,Sudeste,9642,0,0,0,0,6,6,62.2277535780958,62.2277535780958,9,9,93.3416303671438,93.3416303671438
Paraíba,2500205,Aguiar,Nordeste,5640,0,0,0,0,9,9,159.574468085106,159.574468085106,11,11,195.035460992908,195.035460992908
Tocantins,1700301,Aguiarnópolis,Norte,6733,0,0,0,0,3,3,44.5566612208525,44.5566612208525,5,5,74.2611020347542,74.2611020347542
Minas Gerais,3101102,Aimorés,Sudeste,25167,0,0,0,0,35,32,139.071005682044,127.15063376644,31,30,123.177176461239,119.203719156038
Bahia,2900603,Aiquara,Nordeste,4446,0,0,0,0,2,2,44.9842555105713,44.9842555105713,6,6,134.952766531714,134.952766531714
