estado,cod_municipio_ibge,nome_municipio,regiao,populacao,leitos_uti_total,leitos_uti_100k_hab,leitos_uti_sus_total,leitos_uti_sus_100k_hab,medicos_total,medicos_sus,medicos_100k_hab,medicos_sus_100k_hab,enfermeiros_total,enfermeiros_sus,enfermeiros_100k_hab,enfermeiros_sus_100k_hab
Minas Gerais,3102308,Alvinópolis,Sudeste,15203,0,0,0,0,19,18,124.975333815694,118.3976846675,13,13,85.5094389265277,85.5094389265277
Tocantins,1700707,Alvorada,Norte,8412,0,0,0,0,18,18,213.98002853067,213.98002853067,14,14,166.42891107941,166.42891107941
Rio Grande do Sul,4300604,Alvorada,Sul,210305,0,0,0,0,208,168,98.9039728014075,79.883978031906,95,92,45.1724875775659,43.7459879698533
Rondônia,1100346,Alvorada D'Oeste,Norte,14411,0,0,0,0,5,4,34.6957185483311,27.7565748386649,10,10,69.3914370966623,69.3914370966623
Minas Gerais,3102407,Alvorada de Minas,Sudeste,3606,0,0,0,0,3,3,83.1946755407654,83.1946755407654,6,6,166.389351081531,166.389351081531
Piauí,2200459,Alvorada do Gurguéia,Nordeste,5419,0,0,0,0,1,1,18.4535892231039,18.4535892231039,3,3,55.3607676693117,55.3607676693117
Goiás,5200803,Alvorada do Norte,Centro-Oeste,8660,0,0,0,0,4,3,46.189376443418,34.6420323325635,7,6,80.8314087759815,69.284064665127
Paraná,4100806,Alvorada do Sul,Sul,11406,0,0,0,0,10,10,87.6731544800982,87.6731544800982,14,14,122.742416272137,122.742416272137
Roraima,1400027,Amajari,Norte,12796,0,0,0,0,12,12,93.7793060331354,93.7793060331354,24,24,187.558612066271,187.558612066271
Mato Grosso do Sul,5000609,Amambai,Centro-Oeste,39396,0,0,0,0,34,23,86.303177987613,58.3815615798558,33,30,83.7648492232714,76.1498629302467
Amapá,1600105,Amapá,Norte,9109,0,0,0,0,5,5,54.8907673729279,54.8907673729279,7,7,76.847074322099,76.847074322099
Maranhão,2100550,Amapá do Maranhão,Nordeste,6962,0,0,0,0,2,2,28.7273771904625,28.7273771904625,6,6,86.1821315713875,86.1821315713875
Paraná,4100905,Amaporã,Sul,6257,0,0,0,0,7,7,111.874700335624,111.874700335624,7,7,111.874700335624,111.874700335624
Pernambuco,2600906,Amaraji,Nordeste,22829,0,0,0,0,8,8,35.0431468745893,35.0431468745893,18,18,78.847080467826,78.847080467826
Rio Grande do Sul,4300638,Amaral Ferrador,Sul,7031,0,0,0,0,5,5,71.1136395960745,71.1136395960745,4,4,56.8909116768596,56.8909116768596
Goiás,5200829,Amaralina,Centro-Oeste,3812,0,0,0,0,4,4,104.931794333683,104.931794333683,6,6,157.397691500525,157.397691500525
Piauí,2200509,Amarante,Nordeste,17598,0,0,0,0,15,15,85.236958745312,85.236958745312,17,17,96.6018865780202,96.6018865780202
Maranhão,2100600,Amarante do Maranhão,Nordeste,41435,0,0,0,0,25,25,60.3354651864366,60.3354651864366,43,43,103.777000120671,103.777000120671
Bahia,2901007,Amargosa,Nordeste,37241,0,0,0,0,58,48,155.742327005182,128.890201659461,38,38,102.03807631374,102.03807631374
Amazonas,1300060,Amaturá,Norte,11536,0,0,0,0,7,7,60.6796116504854,60.6796116504854,19,19,164.701803051318,164.701803051318
Bahia,2901106,Amélia Rodrigues,Nordeste,25102,0,0,0,0,13,12,51.7887020954506,47.8049557804159,15,15,59.7561947255199,59.7561947255199
Bahia,2901155,América Dourada,Nordeste,16094,0,0,0,0,11,11,68.3484528395675,68.3484528395675,13,13,80.7754442649435,80.7754442649435
São Paulo,3501608,Americana,Sudeste,239597,36,15.0252298651486,6,2.50420497752476,668,339,278.801487497757,141.487581230149,264,119,110.185019011089,49.6667320542411
